date,year,month,day,hour,minute,weekday,holiday,daylight,rain,volume
01/01/2015 00:00,2015,1,1,0,0,4,0.5,0,0,7752
01/01/2015 01:00,2015,1,1,1,0,4,0.5,0,0,9324
01/01/2015 02:00,2015,1,1,2,0,4,0.5,0,0,5760
01/01/2015 03:00,2015,1,1,3,0,4,0.5,0,0,3024
01/01/2015 04:00,2015,1,1,4,0,4,0.5,0,0,1824
01/01/2015 05:00,2015,1,1,5,0,4,0.5,0,0,1812
01/01/2015 06:00,2015,1,1,6,0,4,0.5,0,0,2256
01/01/2015 07:00,2015,1,1,7,0,4,0.5,0,0,3420
01/01/2015 08:00,2015,1,1,8,0,4,0.5,0,0,4068
01/01/2015 09:00,2015,1,1,9,0,4,0.5,0,0,6348
01/01/2015 10:00,2015,1,1,10,0,4,0.5,0,0,8760
01/01/2015 11:00,2015,1,1,11,0,4,0.5,0,0,11712
01/01/2015 12:00,2015,1,1,12,0,4,0.5,0,0,12612
01/01/2015 13:00,2015,1,1,13,0,4,0.5,0,0,14724
01/01/2015 14:00,2015,1,1,14,0,4,0.5,0,0,13716
01/01/2015 15:00,2015,1,1,15,0,4,0.5,0,0,13416
01/01/2015 16:00,2015,1,1,16,0,4,0.5,0,0,12444
01/01/2015 17:00,2015,1,1,17,0,4,0.5,0,0,11160
01/01/2015 18:00,2015,1,1,18,0,4,0.5,0,0,9876
01/01/2015 19:00,2015,1,1,19,0,4,0.5,0,0,8916
01/01/2015 20:00,2015,1,1,20,0,4,0.5,0,0,7620
01/01/2015 21:00,2015,1,1,21,0,4,0.5,0,0,6624
01/01/2015 22:00,2015,1,1,22,0,4,0.5,0,0,5184
01/01/2015 23:00,2015,1,1,23,0,4,0.5,0,0,3816
02/01/2015 00:00,2015,1,2,0,0,5,0,0,0,2436
02/01/2015 01:00,2015,1,2,1,0,5,0,0,0,1248
02/01/2015 02:00,2015,1,2,2,0,5,0,0,0,1116
02/01/2015 03:00,2015,1,2,3,0,5,0,0,0,1056
02/01/2015 04:00,2015,1,2,4,0,5,0,0,0,1872
02/01/2015 05:00,2015,1,2,5,0,5,0,0,0,4272
02/01/2015 06:00,2015,1,2,6,0,5,0,0,0,6456
02/01/2015 07:00,2015,1,2,7,0,5,0,0,0,9612
02/01/2015 08:00,2015,1,2,8,0,5,0,0,0,9900
02/01/2015 09:00,2015,1,2,9,0,5,0,0,0,10956
02/01/2015 10:00,2015,1,2,10,0,5,0,0,0,12900
02/01/2015 11:00,2015,1,2,11,0,5,0,0,0,15036
02/01/2015 12:00,2015,1,2,12,0,5,0,0,0,16632
02/01/2015 13:00,2015,1,2,13,0,5,0,0,0,17640
02/01/2015 14:00,2015,1,2,14,0,5,0,0,0,18852
02/01/2015 15:00,2015,1,2,15,0,5,0,0,0,19272
02/01/2015 16:00,2015,1,2,16,0,5,0,0,0,18156
02/01/2015 17:00,2015,1,2,17,0,5,0,0,0,17340
02/01/2015 18:00,2015,1,2,18,0,5,0,0,0,14508
02/01/2015 19:00,2015,1,2,19,0,5,0,0,0,11520
02/01/2015 20:00,2015,1,2,20,0,5,0,0,0,9252
02/01/2015 21:00,2015,1,2,21,0,5,0,0,0,8472
02/01/2015 22:00,2015,1,2,22,0,5,0,0,0,7164
02/01/2015 23:00,2015,1,2,23,0,5,0,0,0,6084
03/01/2015 00:00,2015,1,3,0,0,6,0,0,0,4200
03/01/2015 01:00,2015,1,3,1,0,6,0,0,0,2748
03/01/2015 02:00,2015,1,3,2,0,6,0,0,0,2184
03/01/2015 03:00,2015,1,3,3,0,6,0,0,0,1356
03/01/2015 04:00,2015,1,3,4,0,6,0,0,0,1344
03/01/2015 05:00,2015,1,3,5,0,6,0,0,0,2220
03/01/2015 06:00,2015,1,3,6,0,6,0,0,0,3792
03/01/2015 07:00,2015,1,3,7,0,6,0,0,0,5496
03/01/2015 08:00,2015,1,3,8,0,6,0,0,0,7452
03/01/2015 09:00,2015,1,3,9,0,6,0,0,0,10272
03/01/2015 10:00,2015,1,3,10,0,6,0,0,0,12888
03/01/2015 11:00,2015,1,3,11,0,6,0,0,0,14460
03/01/2015 12:00,2015,1,3,12,0,6,0,0,0,15780
03/01/2015 13:00,2015,1,3,13,0,6,0,0,0,16536
03/01/2015 14:00,2015,1,3,14,0,6,0,0,0,16884
03/01/2015 15:00,2015,1,3,15,0,6,0,0,0,17052
03/01/2015 16:00,2015,1,3,16,0,6,0,0,0,16404
03/01/2015 17:00,2015,1,3,17,0,6,0,0,0,15744
03/01/2015 18:00,2015,1,3,18,0,6,0,0,0,13500
03/01/2015 19:00,2015,1,3,19,0,6,0,0,0,10824
03/01/2015 20:00,2015,1,3,20,0,6,0,0,0,9432
03/01/2015 21:00,2015,1,3,21,0,6,0,0,0,8844
03/01/2015 22:00,2015,1,3,22,0,6,0,0,0,7272
03/01/2015 23:00,2015,1,3,23,0,6,0,0,0,6264
04/01/2015 00:00,2015,1,4,0,0,7,0,0,0,4116
04/01/2015 01:00,2015,1,4,1,0,7,0,0,0,2880
04/01/2015 02:00,2015,1,4,2,0,7,0,0,0,2424
04/01/2015 03:00,2015,1,4,3,0,7,0,0,0,1500
04/01/2015 04:00,2015,1,4,4,0,7,0,0,0,1236
04/01/2015 05:00,2015,1,4,5,0,7,0,0,0,1680
04/01/2015 06:00,2015,1,4,6,0,7,0,0,0,2748
04/01/2015 07:00,2015,1,4,7,0,7,0,0,0,3852
04/01/2015 08:00,2015,1,4,8,0,7,0,0,0,5040
04/01/2015 09:00,2015,1,4,9,0,7,0,0,0,7428
04/01/2015 10:00,2015,1,4,10,0,7,0,0,0,10548
04/01/2015 11:00,2015,1,4,11,0,7,0,0,0,12708
04/01/2015 12:00,2015,1,4,12,0,7,0,0,0,14424
04/01/2015 13:00,2015,1,4,13,0,7,0,0,0,14544
04/01/2015 14:00,2015,1,4,14,0,7,0,0,0,14700
04/01/2015 15:00,2015,1,4,15,0,7,0,0,0,14988
04/01/2015 16:00,2015,1,4,16,0,7,0,0,0,13752
04/01/2015 17:00,2015,1,4,17,0,7,0,0,0,13284
04/01/2015 18:00,2015,1,4,18,0,7,0,0,0,11412
04/01/2015 19:00,2015,1,4,19,0,7,0,0,0,10320
04/01/2015 20:00,2015,1,4,20,0,7,0,0,0,8700
04/01/2015 21:00,2015,1,4,21,0,7,0,0,0,7116
04/01/2015 22:00,2015,1,4,22,0,7,0,0,0,5052
04/01/2015 23:00,2015,1,4,23,0,7,0,0,0,3720
05/01/2015 00:00,2015,1,5,0,0,1,0,0,0,2292
05/01/2015 01:00,2015,1,5,1,0,1,0,0,0,1320
05/01/2015 02:00,2015,1,5,2,0,1,0,0,0,1236
05/01/2015 03:00,2015,1,5,3,0,1,0,0,0,1404
05/01/2015 04:00,2015,1,5,4,0,1,0,0,0,3168
05/01/2015 05:00,2015,1,5,5,0,1,0,0,0,7140
05/01/2015 06:00,2015,1,5,6,0,1,0,0,0,10908
05/01/2015 07:00,2015,1,5,7,0,1,0,0,0,14280
05/01/2015 08:00,2015,1,5,8,0,1,0,0,0,12864
05/01/2015 09:00,2015,1,5,9,0,1,0,0,0,11160
05/01/2015 10:00,2015,1,5,10,0,1,0,0,0,11532
05/01/2015 11:00,2015,1,5,11,0,1,0,0,0,12996
05/01/2015 12:00,2015,1,5,12,0,1,0,0,0,14592
05/01/2015 13:00,2015,1,5,13,0,1,0,0,0,15468
05/01/2015 14:00,2015,1,5,14,0,1,0,0,0,18600
05/01/2015 15:00,2015,1,5,15,0,1,0,0,0,19704
05/01/2015 16:00,2015,1,5,16,0,1,0,0,0,19632
05/01/2015 17:00,2015,1,5,17,0,1,0,0,0,18804
05/01/2015 18:00,2015,1,5,18,0,1,0,0,0,16176
05/01/2015 19:00,2015,1,5,19,0,1,0,0,0,12468
05/01/2015 20:00,2015,1,5,20,0,1,0,0,0,9192
05/01/2015 21:00,2015,1,5,21,0,1,0,0,0,8064
05/01/2015 22:00,2015,1,5,22,0,1,0,0,0,5640
05/01/2015 23:00,2015,1,5,23,0,1,0,0,0,4284
06/01/2015 00:00,2015,1,6,0,0,2,0,0,0,2484
06/01/2015 01:00,2015,1,6,1,0,2,0,0,0,1596
06/01/2015 02:00,2015,1,6,2,0,2,0,0,0,1308
06/01/2015 03:00,2015,1,6,3,0,2,0,0,0,1452
06/01/2015 04:00,2015,1,6,4,0,2,0,0,0,3120
06/01/2015 05:00,2015,1,6,5,0,2,0,0,0,7008
06/01/2015 06:00,2015,1,6,6,0,2,0,0,0,10896
06/01/2015 07:00,2015,1,6,7,0,2,0,0,0,15060
06/01/2015 08:00,2015,1,6,8,0,2,0,0,0,14184
06/01/2015 09:00,2015,1,6,9,0,2,0,0,0,12108
06/01/2015 10:00,2015,1,6,10,0,2,0,0,0,12336
06/01/2015 11:00,2015,1,6,11,0,2,0,0,0,13368
06/01/2015 12:00,2015,1,6,12,0,2,0,0,0,14760
06/01/2015 13:00,2015,1,6,13,0,2,0,0,0,16020
06/01/2015 14:00,2015,1,6,14,0,2,0,0,0,19092
06/01/2015 15:00,2015,1,6,15,0,2,0,0,0,20064
06/01/2015 16:00,2015,1,6,16,0,2,0,0,0,19692
06/01/2015 17:00,2015,1,6,17,0,2,0,0,0,18924
06/01/2015 18:00,2015,1,6,18,0,2,0,0,0,16908
06/01/2015 19:00,2015,1,6,19,0,2,0,0,0,13068
06/01/2015 20:00,2015,1,6,20,0,2,0,0,0,10368
06/01/2015 21:00,2015,1,6,21,0,2,0,0,0,9660
06/01/2015 22:00,2015,1,6,22,0,2,0,0,0,6000
06/01/2015 23:00,2015,1,6,23,0,2,0,0,0,4632
